Label;Literal;Instructions;Response;Parent_Type;Parent_Name;Branch;Position;min_responses;max_responses
qi_APPHADS;Have you now had your surgery?;;cs_qAPPHADS;CcSequence;Health - Healthcare;1;6;1;1
qi_APPHADSH;Did your (last) surgery take place on the planned date or was it delayed?;;cs_qAPPHADSH;CcSequence;Health - Healthcare;1;7;1;1
qi_APPNOTS;Why has your surgery not taken place?;;cs_qAPPNOTS;CcSequence;Health - Healthcare;1;8;1;1
qi_APPMEN;At the time of the Coronavirus outbreak in March, did you have an appointment booked for cognitive behaviour therapy, counselling or psychological therapy?;;cs_qAPPMEN;CcSequence;Health - Healthcare;1;9;1;1
qi_APPMENHAD;Have you now had your appointment for cognitive behaviour therapy, counselling or psychological therapy?;;cs_qAPPMENHAD;CcSequence;Health - Healthcare;1;10;1;1
qi_APPMENHADH;Did your (last) appointment take place on the planned date or was it delayed?;;cs_qAPPMENHADH;CcSequence;Health - Healthcare;1;11;1;1
qi_APPHADTH;Did your (last) appointment take place in-person or by phone/video?;;cs_qAPPHADTH;CcSequence;Health - Healthcare;1;12;1;1
qi_APPNOTH;Why has your appointment for cognitive behaviour therapy, counselling or psychological therapy not taken place?;;cs_qAPPNOTH;CcSequence;Health - Healthcare;1;13;1;1
qi_SHIELD;Did you at any time receive a letter or text message from the NHS or Chief Medical Officer saying that you have been identified as someone at risk of severe illness if you catch Coronavirus, because you have an underlying disease or health condition?;;cs_qSHIELD;CcSequence;Health – Physical Health;1;1;1;1
qi_HHNUM;The next questions are about who you are currently living with. How many people do you currently live with? Please include yourself.;;How many;CcSequence;Family – Household Grid;1;1;1;1
qi_HHNUMWH;Who do you currently live with?;Please select all that apply.;cs_qHHNUMWH;CcSequence;Family – Household Grid;1;2;1;1
qi_ANYCHNL;Do you have any children who you do not live with? Please include adult children, step-children, adopted children, foster children or any other children you consider yourself parent to.;;cs_qANYCHNL;CcSequence;Family – Household Grid;1;3;1;1
qi_COVCHAN;Have there been any changes to the people you are living with since the Coronavirus outbreak in March? In other words has anyone different moved in, has someone moved out, or have you moved out to live with someone else or to be on your own?;;cs_qCOVCHAN;CcSequence;Family – Household Grid;1;4;1;1
qi_COVPART;Have you started living with your partner since the Coronavirus outbreak in March?;;cs_qCOVPART;CcSequence;Family – Household Grid;1;5;1;1
qi_COVCHIL;Have any of the following occurred since the Coronavirus outbreak in March? When thinking about your children please include adult children, step-children, adopted children, foster children or any other children you consider yourself parent to.;;cs_qCOVCHIL;CcSequence;Family – Household Grid;1;6;1;1
qi_COVPER;Have any of the following occurred since the Coronavirus outbreak in March?;Please select all that apply.;cs_qCOVPER;CcSequence;Family – Household Grid;1;7;1;1
qi_COVOTH;Have any of the following occurred since the Coronavirus outbreak in March? Please select all that apply.;;cs_qCOVOTH;CcSequence;Family – Household Grid;1;8;1;1
qi_OTHRELA;Are you in a relationship with someone at the moment?;;cs_qOTHRELA;CcSequence;Family – Relationships;1;1;1;1
qi_RELSAT;On a scale from 1 to 7, where ‘1’ means that you are ‘very unhappy’ and ‘7’ means that you are ‘very happy’, how happy is your relationship with your partner at the moment, all things considered?;;cs_qRELSAT;CcSequence;Family – Relationships;1;2;1;1
qi_RELCONFL1;During the period between March and May, when the lockdown restrictions were strictest, did the amount you argued with your partner change, compared to before the Coronavirus outbreak?;;cs_qRELCONFL1;CcSequence;Family – Relationships;1;3;1;1
qi_RELCONFL2;Since the national lockdown restrictions started to be eased in June, has the amount you have argued with your partner changed, compared to when the lockdown restrictions were strictest?;;cs_qRELCONFL2;CcSequence;Family – Relationships;1;4;1;1
qi_FAMCONFL1;During the period between March and May, when the lockdown restrictions were strictest, did the amount you argued with the people you live with change compared to before the Coronavirus outbreak?;;cs_qFAMCONFL1;CcSequence;Other – Family conflict change;1;1;1;1
qi_FAMCONFL2;Since the national lockdown restrictions started to be eased in June, has the amount you have argued with the people you live with changed compared to when the lockdown restrictions were strictest?;;cs_qFAMCONFL2;CcSequence;Other – Family conflict change;1;2;1;1
qi_CURPREG;Are you or your partner (if you have one) currently pregnant?;;cs_qCURPREG;CcSequence;Family – Pregnancy;1;1;1;1
qi_PREDUE;How many weeks pregnant are you/is she?;;How many;CcSequence;Family – Pregnancy;1;2;1;1
qi_NUMCHIL;How many of your children do you currently live with?;Please include adult children, step-children, adopted children, foster children or any other children you consider yourself parent to.;How many;CcSequence;Family – Children and childcare_i;1;1;1;1
qi_CHILNAME_N;Please enter the names of the children you live with below. If you prefer, you can just give their first initial(s). We only need this information to help ask questions later in the survey.;;cs_qCHILNAME_N;CcSequence;Family – Child loop;1;1;1;1
qi_CHILAGE;What is {CHILNAME}'s date of birth?;Please click below and record the date in the calendar.;cs_qDate of birth;CcSequence;Family – Child loop;1;2;1;1
qi_CHILAGEY;How old is {CHILNAME}?;;cs_qAge;CcSequence;Family – Child loop;1;3;1;1
qi_LOOP_CHILD_SEX;Please record the sex of the children you live with below.;;cs_qLOOP_CHILD_SEX;CcSequence;Family – Children and childcare_ii;1;1;1;1
qi_CHSEX_N;Please record the sex of the children you live with below.;;cs_qCHSEX_N;CcSequence;Family – Children and childcare_ii;1;2;1;1
qi_CAREB;In the month before the Coronavirus outbreak in March, did you or someone you lived with need help with personal tasks (washing, dressing), or domestic tasks (shopping, providing meals) because you (or they) could not manage them alone?;Please select all that apply.;cs_qCAREB;CcSequence;Family – Caring;1;1;1;1
qi_WHOCAREB;In the month before the Coronavirus outbreak in March, who provided you with the help you needed?;Please code all that apply.;cs_qWHOCAREB;CcSequence;Family – Caring;1;2;1;1
qi_CAREHOURSB;In the month before the Coronavirus outbreak in March, how many hours of help did you usually get each week?;;cs_qCAREHOURSB;CcSequence;Family – Caring;1;3;1;1
qi_WHOCAREPB;In the month before the Coronavirus outbreak in March, who provided the person you live with the help they needed?;Please select all that apply.;cs_qWHOCAREPB;CcSequence;Family – Caring;1;4;1;1
qi_CAREHOURSPB;In the month before the Coronavirus outbreak in March, how many hours of help did the person you live with usually get each week?;;cs_qCAREHOURSPB;CcSequence;Family – Caring;1;5;1;1
qi_CAREA;In the last four weeks, have you or someone you lived with needed help with personal tasks (washing, dressing), or domestic tasks (shopping, providing meals) because you (or they) could not manage them alone?;Please select all that apply.;cs_qCAREA;CcSequence;Family – Caring;1;6;1;1
qi_CARECHAN;Compared to before the Coronavirus outbreak, has the amount of help that you now need changed?;;cs_qCARECHAN;CcSequence;Family – Caring;1;7;1;1
qi_CAREWHOA;In the last four weeks, who has provided you with the help you have needed?;Please select all that apply.;cs_qCAREWHOA;CcSequence;Family – Caring;1;8;1;1
qi_CAREHOURSA;In the last four weeks, how many hours of help have you usually received each week?;;cs_qCAREHOURSA;CcSequence;Family – Caring;1;9;1;1
qi_CARECHANP;Compared to before the Coronavirus outbreak, has the amount of help that the person you live with now needs changed?;;cs_qCARECHANP;CcSequence;Family – Caring;1;10;1;1
qi_CAREWHOAP;In the last four week, who has provided the person you live with the help they have needed?;Please select all that apply.;cs_qCAREWHOAP;CcSequence;Family – Caring;1;11;1;1
qi_CAREHOURSAP;In the last four week, how many hours of help did the person you live with usually get each week?;;cs_qCAREHOURSAP;CcSequence;Family – Caring;1;12;1;1
qi_HINTRO;The next few questions are about where you are currently living.;;cs_qHINTRO;CcSequence;Family – Housing;1;1;1;1
qi_COUNTRES;Which country do you live in?;;cs_qCOUNTRES;CcSequence;Family – Housing;1;2;1;1
qi_MOVE;Have you moved to a new address since the beginning of June?;;cs_qMOVE;CcSequence;Family – Housing;1;3;1;1
qi_CMPOST;Please enter the postcode of the address at which you are currently living, even if this is a temporary address. Use capitalised letters and leave a space between the two parts of the postcode. For example WC1H 0AL.;;Generic text;CcSequence;Family – Housing;1;4;1;1
qi_NUMROOMS;How many rooms are there in the home where you are currently living, not counting kitchens, bathrooms, toilets, {IF GROUP=5: utility rooms,} halls and garages?;;How many;CcSequence;Family – Housing;1;5;1;1
qi_NUMROOMSSC;You have said the number of rooms in your home is more than 20. If this is correct, press 'Continue'. Otherwise, please go back and amend your answer.;;cs_qNUMROOMSSC;CcSequence;Family – Housing;1;6;1;1
qi_OUTDOORS;Do you have a garden, a patio or yard, a roof terrace or large balcony?;Please select all that apply.;cs_qOUTDOORS;CcSequence;Family – Housing;1;7;1;1
qi_TENURE;Do you (or your household) own or rent your home or have some other arrangement?;;cs_qTENURE;CcSequence;Family – Housing;1;8;1;1
qi_TENCHANGE;Has your tenure changed since the start of the Coronavirus outbreak in March?;;cs_qTENCHANGE;CcSequence;Family – Housing;1;9;1;1
qi_TENUREBC;At the start of the Coronavirus outbreak in March, did you (or your household) own or rent your home or have some other arrangement?;;cs_qTENUREBC;CcSequence;Family – Housing;1;10;1;1
qi_FININTRO;The following questions are about your financial situation, your job, or any other things that you have been doing.;;cs_qFININTRO;CcSequence;Finance, employment and education – Financial Situation;1;1;1;1
qi_FINANCIALMANB;In the 3 months before the Coronavirus outbreak in March, how well would you say you personally were managing financially?;;cs_qFINANCIALMANB;CcSequence;Finance, employment and education – Financial Situation;1;2;1;1
qi_FINANCIALMAND;Overall, how do you feel your current financial situation compares to before the Coronavirus outbreak?;;cs_qFINANCIALMAND;CcSequence;Finance, employment and education – Financial Situation;1;3;1;1
qi_FINEXP;In 12 months' time, how do you expect your financial situation will compare to before the Coronavirus outbreak?;;cs_qFINEXP;CcSequence;Finance, employment and education – Financial Situation;1;4;1;1
qi_FINHTY;You said that you are worse off now compared to before the Coronavirus outbreak. Have you {if living with a partner: or your partner} done any of the following as a result of this?;;cs_qFINHTY;CcSequence;Finance, employment and education – Financial Situation;1;5;1;1
qi_BENEFITB;In the three months before the Coronavirus outbreak in March, did you (or your partner if you have one) receive any of the following? Please select all that apply.;;cs_qBENEFITB;CcSequence;Finance, employment and education – Benefits claimed;1;1;1;1
qi_BENEFITD;Since the Coronavirus outbreak in March, have you (or your partner if you have one) made any new claims for the following?;Please select all that apply.;cs_qBENEFITD;CcSequence;Finance, employment and education – Benefits claimed;1;2;1;1
qi_BENEFITOTH;Since the Coronavirus outbreak in March, have you used any of the following?;Please select all that apply.;cs_qBENEFITOTH;CcSequence;Finance, employment and education – Benefits claimed;1;3;1;1
qi_FINGIVB;Between March 2019 and March 2020, did you give financial help, in the form of money or by paying for goods (for example groceries, medicines) to any of the following?;Please select all that apply.;cs_qFINGIVB;CcSequence;Finance, employment and education – Financial transfers;1;1;1;1
qi_FINGIVD;Since the Coronavirus outbreak in March, have you given financial help, in the form of money or by paying for goods (for example groceries, medicines) to any of the following?;Please select all that apply.;cs_qFINGIVD;CcSequence;Finance, employment and education – Financial transfers;1;2;1;1
qi_FINGIVCHAN;Compared with before the Coronavirus outbreak in March, has the amount of financial help you have been giving since then ....?;;cs_qFINGIVCHAN;CcSequence;Finance, employment and education – Financial transfers;1;3;1;1
qi_FINRECB;Between March 2019 and March 2020, did you receive financial help, in the form of money or by paying for goods (for example groceries, medicines) from any of the following?;Please select all that apply.;cs_qFINRECB;CcSequence;Finance, employment and education – Financial transfers;1;4;1;1
qi_FINRECD;Since the Coronavirus outbreak in March, have you received financial help, in the form of money or by paying for goods (for example groceries, medicines) from any of the following?;Please select all that apply.;cs_qFINRECD;CcSequence;Finance, employment and education – Financial transfers;1;5;1;1
qi_FINRCHAN;Compared with before the Coronavirus outbreak in March, has the amount of financial help you have been receiving since then ....?;;cs_qFINRCHAN;CcSequence;Finance, employment and education – Financial transfers;1;6;1;1
qi_ECONACTIVITYB;Which of these best describes what you were doing just before the Coronavirus outbreak in March?;;cs_qECONACTIVITYB;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;1;1;1
qi_WRKHOURSB;Still thinking about the job you were doing just before the Coronavirus outbreak in March, how many hours per week did you usually work, not including meal breaks but including overtime?;;How many;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;2;1;1
qi_WRKHOURSBCHK;You have said you worked for 100 or more hours a week. If this is correct, select 'Continue'. Otherwise please go back and amend your answer.;;cs_qWRKHOURSBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;3;1;1
qi_JDOB;Please describe in your own words what you mainly did in this job.;;Generic text;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;4;1;1
qi_JDOBCHK;The answer you've given is quite short. Before continuing, please go back and check your answer to make sure you have fully described what you did in this job.;;cs_qJDOBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;5;1;1
qi_JMAKEB;What did the firm or organisation you worked for mainly make or do?;;Generic text;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;6;1;1
qi_JMAKEBCHK;The answer you've given is quite short. Before continuing, please go back and check your answer to make sure you have fully described the firm or organisation you worked for.;;cs_qJMAKEBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;7;1;1
qi_JMAKESEB;What did your firm or organisation mainly make or do?;;Generic text;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;8;1;1
qi_JMAKESEBCHK;The answer you've given is quite short. Before continuing, please go back and check your answer to make sure you have fully described your firm or organisation.;;cs_qJMAKESEBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;9;1;1
qi_ZEROHB;In this job, did you have a zero hours contract?;;cs_qZEROHB;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak;1;10;1;1
qi_STUDYORG;Where were you studying at that time?;;cs_qSTUDYORG;CcSequence;Finance, employment and education – Education: prior outbreak;1;1;1;1
qi_STUDYHRS;Were you studying full or part time?;;cs_qSTUDYHRS;CcSequence;Finance, employment and education – Education: prior outbreak;1;2;1;1
qi_COURSLEVL;Still thinking about the education you were doing just before the Coronavirus outbreak in March, what level of qualification were you studying for at that time?;;cs_qCOURSLEVL;CcSequence;Finance, employment and education – Education: prior outbreak;1;3;1;1
qi_STUDYORGNAME_NEW;In the boxes below please write the full name of the school, college, university or other organisation at which you were studying, and the town in which it is in:;;cs_qSTUDYORGNAME_NEW;CcSequence;Finance, employment and education – Education: prior outbreak;1;4;1;1
qi_COURSEDUR;What was the duration of the course?;;cs_qCOURSEDUR;CcSequence;Finance, employment and education – Education: prior outbreak;1;5;1;1
qi_COURSEDUR_5_TEXT;Course duration - Other (please specify) - Text;;cs_qCOURSEDUR_5_TEXT;CcSequence;Finance, employment and education – Education: prior outbreak;1;6;1;1
qi_STUDYYEAR;Which year of the course were you in during the Summer term, that is between the end of the Easter holiday and the start of the summer holiday?;;cs_qSTUDYYEAR;CcSequence;Finance, employment and education – Education: prior outbreak;1;7;1;1
qi_STUDYYEAR_TEXT;Current year of study - Other (please sepcify)- Text;;Generic text;CcSequence;Finance, employment and education – Education: prior outbreak;1;8;1;1
qi_PREVSTUD;Were you in education at a school, college or University at the time of the Coronavirus outbreak in March 2020?;;cs_qPREVSTUD;CcSequence;Finance, employment and education – Education: prior outbreak;1;9;1;1
qi_PRCOURSLEVL;What level of qualification were you studying for at that time?;;cs_qPRCOURSLEVL;CcSequence;Finance, employment and education – Education: prior outbreak;1;10;1;1
qi_LEARNACTIVITYCHNG;Which of the following applied to your learning activity during the Summer term?;;cs_qLEARNACTIVITYCHNG;CcSequence;Finance, employment and education – Education: prior outbreak;1;11;1;1
qi_LEARNSATISFACTION;Using a scale of 0 to 10, where 0 means 'completely disagree' and 10 means 'completely agree', please indicate the extent to which you agree or disagree with each of the statements below.;;cs_qLEARNSATISFACTION;CcSequence;Finance, employment and education – Education: prior outbreak;1;12;1;1
qi_COURSERET;Have you returned (or will you be returning) to your course in the autumn term?;;cs_qCOURSERET;CcSequence;Finance, employment and education – Economic activity: during outbreak - if in education or non-job apprenticeship;1;1;1;1
qi_EDUOFFER;Have you, at any stage, formally accepted an offer for a place on a new college or university course or apprenticeship programme which will start (or has just started) in the Autumn term?;;cs_qEDUOFFER;CcSequence;Finance, employment and education – Education and employment MCS only;1;1;1;1
qi_EDUORGNAME_GR;In the boxes below please write the full name of the college, university or other organisation at which you have been offered a place, and the town in which it is in:;;cs_qEDUORGNAME_GR;CcSequence;Finance, employment and education – Education and employment MCS only;1;2;1;1
qi_EDUOFFLEV;What level is the course on which you have been offered a place?;;cs_qEDUOFFLEV;CcSequence;Finance, employment and education – Education and employment MCS only;1;3;1;1
qi_EDUOFFERINTENT;Have you started, or will you be starting this course or apprenticeship?;;cs_qEDUOFFERINTENT;CcSequence;Finance, employment and education – Education and employment MCS only;1;4;1;1
qi_ECONACTIVITYD;Which of these would you say best describes your situation now?;;cs_qECONACTIVITYD;CcSequence;Finance, employment and education – Employment circumstances: now;1;1;1;1
qi_WRKHOURSD;And how many hours per week do you usually work now, not including meal breaks but including overtime?;;How many;CcSequence;Finance, employment and education – Employment circumstances: now;1;2;1;1
qi_WRKHOURSDCHK;You have said that you work for 100 or more hours a week. If this is correct, please select 'Continue'. Otherwise please go back and amend your answer.;;cs_qWRKHOURSDCHK;CcSequence;Finance, employment and education – Employment circumstances: now;1;3;1;1
qi_WRKLOCATIOND;Which of the following best describes your work location?;;cs_qWRKLOCATIOND;CcSequence;Finance, employment and education – Employment circumstances: during outbreak;1;1;1;1
qi_HWRKSAT_N;Using a scale of 0 to 10, where 0 means 'completely disagree' and 10 means 'completely agree', please indicate the extent to which you agree or disagree with the statement below. I am able to work effectively whilst being at home;;cs_qHWRKSAT_N;CcSequence;Finance, employment and education – Employment circumstances: during outbreak;1;2;1;1
qi_KEYWORKERD;Are you a Key worker, or has your work been classified as critical to the Covid-19 response?;;cs_qKEYWORKERD;CcSequence;Finance, employment and education – Employment circumstances: during outbreak;1;3;1;1
qi_JOBSATIS;All things considered, how satisfied or dissatisfied are you with your present job overall?;;cs_qJOBSATIS;CcSequence;Finance, employment and education – Employment circumstances: during outbreak;1;4;1;1
qi_PECONACTIVITYB;Which of these best describes what your partner was doing just before the Coronavirus outbreak in March? If they were doing more than one activity, please choose the activity that they spent most time doing.;;cs_qPECONACTIVITYB;CcSequence;Finance, employment and education – Employment circumstances: during outbreak;1;5;1;1
qi_PWRKHOURSB;How many hours per week did your partner usually work, not including meal breaks but including overtime?;;How many;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;1;1;1
qi_PWRKHOURSBCHK;You have said that your partner worked for 100 or more hours a week. If this is correct, please select 'Continue'. Otherwise please go back and amend your answer.;;cs_qPWRKHOURSBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;2;1;1
qi_PJTITLEB;What was your partner's job title?;;Generic text;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;3;1;1
qi_PJDOB;Please describe in your own words what your partner mainly did in this job. Please describe in detail (for example job title and the type of work).;;cs_qLong text;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;4;1;1
qi_PJDOBCHK;The answer you've given is quite short. Before continuing, please go back and check your answer to make sure you have fully described what your partner did in this job.;;cs_qPJDOBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;5;1;1
qi_PJMAKEB;What did the firm or organisation your partner worked for mainly make or do? Please describe in detail (for example manufacturing, processing or distribution, goods produced, materials used, wholesale or retail.;;cs_qLong text;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;6;1;1
qi_PJMAKEBCHK;The answer you've given is quite short. Before continuing, please go back and check your answer to make sure you have fully described the firm or organisation your partner worked for.;;cs_qPJMAKEBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;7;1;1
qi_PJMAKESEB;What did your partner's firm or organisation mainly make or do? Please describe in detail (for example manufacturing, processing or distribution, goods produced, materials used, wholesale or retail.;;cs_qLong text;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;8;1;1
qi_PJMAKESEBCHK;The answer you've given is quite short. Before continuing, please go back and check your answer to make sure you have fully described your partner's firm or organisation.;;cs_qPJMAKESEBCHK;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;9;1;1
qi_PZEROHB;In this job, did your partner have a zero hours contract?;;cs_qPZEROHB;CcSequence;Finance, employment and education – Employment circumstances: prior outbreak - partner;1;10;1;1
qi_PECONACTIVITYD;Which of these would you say best describes your partner’s situation now?;;cs_qPECONACTIVITYD;CcSequence;Finance, employment and education – Economic activity: since outbreak - partner;1;1;1;1
qi_PWRKHOURSD;And how many hours per week does your partner usually work now, not including meal breaks?;;How many;CcSequence;Finance, employment and education – Economic activity: since outbreak - partner;1;2;1;1
qi_PWRKHOURSDCHK;You have said that your partner works for 100 or more hours a week. If this is correct, select 'Continue'. Otherwise, please go back and amend your answer.;;cs_qPWRKHOURSDCHK;CcSequence;Finance, employment and education – Economic activity: since outbreak - partner;1;3;1;1
qi_PKEYWORKER;Is your partner a Key worker, or has their work been classified as critical to the Covid-19 response?;;cs_qPKEYWORKER;CcSequence;Finance, employment and education – Economic activity: since outbreak - partner;1;4;1;1
qi_SMOKING;The next set of questions are about smoking, drinking alcohol, exercise, diet and sleep.;;cs_qSMOKING;CcSequence;Health – Health behaviours;1;1;1;1
qi_NUMCIGSPP;In the month before the Coronavirus outbreak in March, how many cigarettes a day did you usually smoke?;;How many;CcSequence;Health – Health behaviours;1;2;1;1
qi_NUMCIGSPPCHK;You have said that you smoked more than 60 cigarettes a day. If this is correct, please select 'Continue'. Otherwise, please go back and amend your answer.;;cs_qNUMCIGSPPCHK;CcSequence;Health – Health behaviours;1;3;1;1
qi_NUMCIGSSP;In the last four weeks, how many cigarettes a day have you typically smoked?;;How many;CcSequence;Health – Health behaviours;1;4;1;1
qi_NUMCIGSSPCHK;You have said that you smoke more than 60 cigarettes a day. If this is correct, please select 'Continue'. Otherwise, please go back and amend your answer.;;cs_qNUMCIGSSPCHK;CcSequence;Health – Health behaviours;1;5;1;1
qi_VAPE;Now thinking about electronic cigarettes or vaping devices, which of these statements applies to you?;;cs_qVAPE;CcSequence;Health – Health behaviours;1;6;1;1
qi_VAPESP;In the last four weeks, has the amount you have been using an electronic cigarette or vaping device changed?;;cs_qVAPESP;CcSequence;Health – Health behaviours;1;7;1;1
qi_ALDRPP;In the month before the Coronavirus outbreak in March, how often did you have a drink containing alcohol?;;cs_qALDRPP;CcSequence;Health – Health behaviours;1;8;1;1
qi_AUNDPP;In the month before the Coronavirus outbreak in March, how many standard alcoholic drinks have you had on a typical day when you were drinking?;;cs_qAUNDPP;CcSequence;Health – Health behaviours;1;9;1;1
qi_ALDRSP;In the last four weeks, how often have you had a drink containing alcohol?;;cs_qALDRSP;CcSequence;Health – Health behaviours;1;10;1;1
qi_AUNDSP;In the last four weeks, how many standard alcoholic drinks did you have on a typical day when you were drinking?;;cs_qAUNDSP;CcSequence;Health – Health behaviours;1;11;1;1
qi_AUSDSP;Since the national lockdown restrictions started to be eased in June, how often have you found you were not able to stop drinking once you had started?;;cs_qAUSDSP;CcSequence;Health – Health behaviours;1;12;1;1
qi_EXCISEPP;In the month before the Coronavirus outbreak in March, on how many days in a typical week did you do 30 minutes or more of exercise where you are working hard enough to raise your heart rate and break into a sweat?;;How many;CcSequence;Health – Health behaviours;1;13;1;1
qi_EXCISESP;In the last four weeks, on how many days in a typical week did you do 30 minutes or more of exercise where you are working hard enough to raise your heart rate and break into a sweat?;;How many;CcSequence;Health – Health behaviours;1;14;1;1
