Label;Code_Order;Code_Value;Category
cs_EthGrp;12;12;Black or Black British: Caribbean
cs_EthGrp;13;13;Black or Black British: African
cs_EthGrp;14;14;Black or Black British: Any other Black background (specify)
cs_EthGrp;15;15;Chinese or Other ethnic group: Chinese
cs_EthGrp;16;16;Chinese or Other ethnic group: Any other
cs_R;1;1;Husband/Wife
cs_R;2;2;Partner/Cohabitee
cs_R;3;3;Natural son/daughter
cs_R;4;4;Adopted son/daughter
cs_R;5;5;Foster child
cs_R;6;6;Stepson/stepdaughter
cs_R;7;7;Son-in-law/daughter-in-law
cs_R;8;8;Natural parent
cs_R;9;9;Adoptive parent
cs_R;10;10;Foster parent
cs_R;11;11;Step-parent
cs_R;12;12;Parent-in-law
cs_R;13;13;Natural brother/sister
cs_R;14;14;Half-brother/sister
cs_R;15;15;Step-brother/sister
cs_R;16;16;Adopted brother/sister
cs_R;17;17;Foster brother/sister
cs_R;18;18;Brother/sister-in-law
cs_R;19;19;Grand-child
cs_R;20;20;Grand-parent
cs_R;21;21;Other relative
cs_R;22;22;Other non-relative
cs_Hous12;1;1;Owned outright
cs_Hous12;2;2;Being bought on a mortgage/bank loan
cs_Hous12;3;3;Shared ownership (owns & rents property)
cs_Hous12;4;4;Rented from a Council or New Town
cs_Hous12;5;5;Rented from a Housing Association
cs_Hous12;6;6;Rented privately
cs_Hous12;7;7;Rent free
cs_Hous12;8;8;Some other arrangement
cs_UseVc;1;1;Yes
cs_UseVc;2;2;No
cs_Englang;1;1;Yes - English only
cs_Englang;2;2;Yes - English first/main and speaks other languages
cs_Englang;3;3;No - another language is households first/main language
cs_Englang;4;4;Household is bilingual
cs_ElseH;1;1;No-one else in the room during section
cs_ElseH;2;2;Spouse/partner
cs_ElseH;3;3;Sampled young person
cs_ElseH;4;4;Mother/step-mother/female guardian
cs_ElseH;5;5;Father/step-father/male guardian
cs_ElseH;6;6;(Step-) brother(s)/sister(s)
cs_ElseH;7;7;Other adult relative(s)
cs_ElseH;8;8;Other child(ren) under 16
cs_ElseH;9;9;Other adult(s) including visitor
cs_ElseH;10;10;Someone else
cs_DispRes;1;1;Press 1 and <Enter> to continue
cs_Ed1b;6;6;
cs_Ed1b;5;5;
cs_Ed1b;3;3;
cs_Ed1b;2;2;
cs_Ed1b;4;4;
cs_Qualb;1;1;Which qualifications do you have?
cs_Qualb;1;1;Yes
cs_Qualb;2;2;No
cs_Qualb;1;1;O level (obtained before 1975)
cs_Qualb;2;2;O level A-C (1975 or later)
cs_Qualb;3;3;O level D,E (1975 or later)
cs_Qualb;4;4;GCSE grades A-C
cs_Qualb;5;5;GCSE grades D-G
cs_Qualb;6;6;CSE grade 1
cs_Qualb;7;7;CSE grade 2-5
cs_Qualc;2;2;
cs_Qualc;3;3;No
cs_Qualc;1;1;Yes
cs_Quald;1;1;Higher National Certificate (HNC) or Diploma (HND),BEC/TEC/BTEC / Scotvec Higher Certificate or Higher Diploma /or NVQ4/SVQ4
cs_Quald;2;2;Ordinary National Certificate (ONC) or Diploma (OND),BEC/TEC/BTEC / Scotvec National Certificate or Diploma / or NVQ3/SVQ3
cs_Quald;3;3;City & Guilds Certificate - Full Technological/Part III /or Scotvec Higher National Units / or NVQ3/SVQ3
cs_Quald;4;4;City & Guilds Certificate - Advanced/Final/Part II /or Scotvec Higher National Units / or NVQ2/SVQ2
cs_Quald;5;5;City & Guilds Certificate - Craft/Intermediate/Ordinary/Part I /or Scotvec National Certificate Modules / or NVQ1/SVQ1
cs_Quald;6;6;Other clerical or commercial qualifications (eg typing/shorthand/book-keeping/commerce)
cs_Quald;7;7;Youth training certificate/Skillseekers
cs_Quald;8;8;Any Other vocational or work-related qualification (specify)
cs_Qualf;1;1;Yes
cs_Qualf;2;2;No
cs_Qualf;1;1;University or CNAA Higher Degree (eg MSc, PhD)
cs_Qualf;2;2;University or CNAA First Degree (eg BA, B.Ed, BSc)
cs_Qualf;3;3;University diploma
cs_Qualf;4;4;Teaching qualifications - Non-Degree
cs_Qualf;5;5;Nursing qualifications Non-Degree (eg SEN, SRN, SCM, RGN)
cs_Qualf;6;6;A Levels
cs_Qualf;7;7;AS Levels
cs_Qualf;8;8;Other technical, professional or higher qualifications (specify)
cs_QualH;2;2;No
cs_QualH;1;1;Yes
cs_QualH;1;1;Higher Grade
cs_QualH;2;2;Standard Grade level (1-3)
cs_QualH;3;3;Standard Grade level (4-7)
cs_QualH;4;4;O grades (pass or bands A-C or 1-3)
cs_QualH;5;5;SCE Ordinary Grade bands D-E or 4-5 (1973 or later)
cs_QualH;6;6;Certificate of 6th year studies
cs_QualH;7;7;SLC: School Leaving Certificate - Lower Grade
cs_QualH;8;8;SLC: School Leaving Certificate - Higher Grade
cs_QualH;9;9;OTHER (EXCLUDING QUALIFICATIONS GAINED OVERSEAS, SPECIFY)
cs_Apprent;1;1;Yes, here in Britain
cs_Apprent;2;2;Yes, overseas
cs_Apprent;3;3;No
cs_Overs;1;1;Yes
cs_Overs;2;2;No
cs_Otype;1;1;School exam Below University Entrance Level (i.e. equivalent to GCSE/O-Level)
cs_Otype;2;2;School exam University Entrance Level (i.e. equivalent to A-Level)
cs_Otype;3;3;First Degree from University or similar institution (i.e. equivalent to BA, B.Ed, BSc)
cs_Otype;4;4;Higher Degree (i.e. equivalent to MA, MSc, PhD)
cs_Otype;5;5;Commercial qualifications (e.g. typing, shorthand, book-keeping, commerce)
cs_Otype;6;6;Any other vocational or work related qualification
cs_Otype;7;7;Some other sort of qualification
cs_Ed3;1;1;Yes
cs_Ed3;2;2;No
cs_Ed3;3;3;Didnt know father
cs_Ed4;1;1;Yes
cs_Ed4;2;2;No
cs_Ed4;3;3;Didnt know mother
cs_Wrk1a;1;1;Full-time paid employee (30 or more hours a week)
cs_Wrk1a;2;2;Part-time paid employee (under 30 hours a week)
cs_Wrk1a;3;3;Full-time self-employed
cs_Wrk1a;4;4;Part-time self-employed
cs_Wrk1a;5;5;Unemployed and seeking work
cs_Wrk1a;6;6;Full-time education
cs_Wrk1a;7;7;On a government scheme for employment training
cs_Wrk1a;9;9;Permanently sick/disabled
cs_Wrk1a;10;10;Looking after home/family
cs_Wrk1a;11;11;Retired from work altogether
cs_Wrk1a;12;12;Something else (PLEASE GIVE DETAILS)
cs_WrkM;1;1;January
cs_WrkM;2;2;Febuary
cs_WrkM;3;3;March
cs_WrkM;4;4;April
cs_WrkM;5;5;May
cs_WrkM;6;6;June
cs_WrkM;7;7;July
cs_WrkM;8;8;August
cs_WrkM;9;9;September
cs_WrkM;10;10;October
cs_WrkM;11;11;November
cs_WrkM;12;12;December
cs_Wrk2;1;1;Yes
cs_Wrk2;2;2;No
cs_Wrk4;1;1;January
cs_Wrk4;2;2;Febuary
cs_Wrk4;3;3;March
cs_Wrk4;4;4;April
cs_Wrk4;5;5;May
cs_Wrk4;6;6;June
cs_Wrk4;7;7;July
cs_Wrk4;8;8;August
cs_Wrk4;9;9;September
cs_Wrk4;10;10;October
cs_Wrk4;11;11;November
cs_Wrk4;12;12;December
cs_WrkStat;1;1;Employee
cs_WrkStat;2;2;Self-employed
cs_WrkStat;3;3;Government scheme
cs_WrkStat;4;4;Unpaid family worker
cs_Wrk10;1;1;Yes
cs_Wrk10;2;2;No
cs_Wrk11;1;1;1-9
cs_Wrk11;2;2;10-24
cs_Wrk11;3;3;25-499
cs_Wrk11;4;4;500 or more
cs_Fixhr;1;1;Yes
cs_Fixhr;2;2;No
cs_SALAR2;1;1;One week
cs_SALAR2;2;2;Two weeks
cs_SALAR2;3;3;Three weeks
cs_SALAR2;4;4;Four weeks
cs_SALAR2;5;5;Calendar month
cs_SALAR2;7;7;Two calendar months
cs_SALAR2;8;8;Eight times a year
cs_SALAR2;9;9;Nine times a year
cs_SALAR2;10;10;Ten times a year
cs_SALAR2;13;13;Three months/13 weeks
cs_SALAR2;26;26;Six months/26 weeks
cs_SALAR2;52;52;One year/12 months/52 weeks
cs_SALAR2;90;90;Less than one week
cs_SALAR2;95;95;One off lump sum
cs_SALAR2;1;1;None of these
cs_SALAR4;1;1;One week
cs_SALAR4;2;2;Two weeks
cs_SALAR4;3;3;Three weeks
cs_SALAR4;4;4;Four weeks
cs_SALAR4;5;5;Calendar month
cs_SALAR4;7;7;Two calendar months
cs_SALAR4;8;8;Eight times a year
cs_SALAR4;9;9;Nine times a year
cs_SALAR4;10;10;Ten times a year
cs_SALAR4;13;13;Three months/13 weeks
cs_SALAR4;26;26;Six months/26 weeks
cs_SALAR4;52;52;One year/12 months/52 weeks
cs_SALAR4;90;90;Less than one week
cs_SALAR4;95;95;One off lump sum
cs_SALAR4;1;1;None of these
cs_Wrk12a;1;1;On own/with partner(s), but no employees
cs_Wrk12a;2;2;With employees
cs_Wrk12b;1;1;1-9
cs_Wrk12b;2;2;10-24
cs_Wrk12b;3;3;25-499
cs_Wrk12b;4;4;500 or more
cs_JHChkM;1;1;January
cs_JHChkM;2;2;Febuary
cs_JHChkM;3;3;March
cs_JHChkM;4;4;April
cs_JHChkM;5;5;May
cs_JHChkM;6;6;June
cs_JHChkM;7;7;July
cs_JHChkM;8;8;August
cs_JHChkM;9;9;September
cs_JHChkM;10;10;October
cs_JHChkM;11;11;November
cs_JHChkM;12;12;December
cs_JHInt;1;1;Press 1 and <Enter> to continue
cs_JHAct;1;1;Full-time paid employee (30 or more hours a week)
cs_JHAct;2;2;Part-time paid employee (under 30 hours a week)
cs_JHAct;3;3;Full-time self-employed
cs_JHAct;4;4;Part-time self-employed
cs_JHAct;5;5;Unemployed and seeking work
cs_JHAct;6;6;Full-time education
cs_JHAct;7;7;On a government scheme for employment training
cs_JHAct;8;8;Temporarily sick/disabled
cs_JHAct;9;9;Permanently sick/disabled
cs_JHAct;10;10;Looking after home/family
cs_JHAct;11;11;Wholly retired
cs_JHAct;12;12;Other (specify)
cs_JHStM;1;1;January
cs_JHStM;2;2;February
cs_JHStM;3;3;March
cs_JHStM;4;4;April
cs_JHStM;5;5;May
cs_JHStM;6;6;June
cs_JHStM;7;7;July
cs_JHStM;8;8;August
cs_JHStM;9;9;September
cs_JHStM;10;10;October
cs_JHStM;11;11;November
cs_JHStM;12;12;December
cs_JHStop;1;1;Fixed term or temporary job ended
cs_JHStop;2;2;Made redundant
cs_JHStop;3;3;Dismissed from a job
cs_JHStop;4;4;Left because pregnant
cs_JHStop;5;5;Left job for health reasons
cs_JHStop;6;6;Just decided to leave
cs_JHStop;7;7;Career break
cs_JHStop;8;8;More money
cs_JHStop;9;9;Better job
cs_JHStop;10;10;Firm closed down
cs_JHStop;11;11;For some other reason (specify)
cs_Hea1;1;1;Very good
cs_Hea1;2;2;Fairly good
cs_Hea1;3;3;Not very good
cs_Hea1;4;4;Not good at all
cs_Hea2;1;1;Yes HEA2A
cs_Hea2;2;2;No FILTER ABOVE PETHNIC
cs_Hea2a;1;1;Yes
cs_Hea2a;2;2;No
cs_PEthnic;1;1;White: White - British
cs_PEthnic;2;2;White: White - Irish
cs_PEthnic;3;3;White: Any other White background (specify)
cs_PEthnic;4;4;Mixed: White and Black Caribbean
cs_PEthnic;5;5;Mixed: White and Black African
cs_PEthnic;6;6;Mixed: White and Asian
cs_PEthnic;7;7;Mixed: Any other mixed background (specify)
cs_PEthnic;11;11;Asian or Asian British: Indian
cs_PEthnic;12;12;Asian or Asian British: Pakistani
cs_PEthnic;13;13;Asian or Asian British: Bangladeshi
cs_PEthnic;14;14;Asian or Asian British: Any other Asian background
cs_PEthnic;16;16;Black or Black British: Caribbean
cs_PEthnic;17;17;Black or Black British: African
cs_PEthnic;18;18;Black or Black British: Any other Black background (specify)
cs_PEthnic;20;20;Chinese
cs_PEthnic;21;21;Any other
cs_PRelig1;1;1;None
cs_PRelig1;2;2;Christian
cs_PRelig1;3;3;Buddhist
cs_PRelig1;4;4;Hindu
cs_PRelig1;5;5;Jewish
cs_PRelig1;6;6;Muslim
cs_PRelig1;7;7;Sikh
cs_PRelig1;1;1;Another religion
cs_PRelig2;1;1;Roman Catholic
cs_PRelig2;2;2;Church of England
cs_PRelig2;3;3;Methodist
cs_PRelig2;4;4;United Reformed /Presbyterian/Congregational
cs_PRelig2;5;5;Baptist
cs_PRelig2;6;6;Other Christian
cs_PRelig3;1;1;Very important
cs_PRelig3;2;2;Fairly important
cs_PRelig3;3;3;Not very important
cs_PRelig3;4;4;Not at all important?
cs_PPres;1;1;No-one else present
cs_PPres;2;2;Respondent's partner/husband/wife
cs_PPres;3;3;Sampled young person
cs_PPres;4;4;Other adult living in household
cs_PPres;5;5;Other young person living in household
cs_PPres;6;6;Other adult/young person not living in household
cs_MCIntro;1;1;Press 1 and <Enter> to continue
cs_Kidskol;1;1;Very good
cs_Kidskol;2;2;Fairly good
cs_Kidskol;3;3;Neither good nor bad
cs_Kidskol;4;4;Fairly bad
cs_Kidskol;5;5;Very bad
cs_Kidskol;6;6;Can't say (code if mentioned spontaneously)
cs_Qualprg;1;1;Very satisfied
cs_Qualprg;2;2;Fairly satisfied
cs_Qualprg;3;3;Fairly dissatisfied
cs_Qualprg;4;4;Very dissatisfied
cs_Qualprg;5;5;Can't say
cs_Qualdec;1;1;Very satisfied
cs_Qualdec;2;2;Fairly satisfied
cs_Qualdec;3;3;Fairly dissatisfied
cs_Qualdec;4;4;Very dissatisfied
cs_Qualdec;5;5;Can't say
cs_Qualint;1;1;Very satisfied
cs_Qualint;2;2;Fairly satisfied
cs_Qualint;3;3;Fairly dissatisfied
cs_Qualint;4;4;Very dissatisfied
cs_Qualint;5;5;Can't say
cs_Qualdis;1;1;Very satisfied
cs_Qualdis;2;2;Fairly satisfied
cs_Qualdis;3;3;Fairly dissatisfied
cs_Qualdis;4;4;Very dissatisfied
cs_Qualdis;5;5;Can't say
cs_Qualrel;1;1;Very satisfied
cs_Qualrel;2;2;Fairly satisfied
cs_Qualrel;3;3;Fairly dissatisfied
cs_Qualrel;4;4;Very dissatisfied
cs_Qualrel;5;5;Can't say
cs_ParEve;1;1;Yes - respondent and partner/husband/wife have gone
cs_ParEve;2;2;Yes - respondent went alone
cs_ParEve;3;3;Yes - respondent's partner/husband/wife went alone
cs_ParEve;4;4;No - Nobody has been
cs_TmeetF;1;1;Yes
cs_TmeetF;2;2;No
cs_Tspeak;1;1;At least once a week
cs_Tspeak;2;2;Every two or three weeks
cs_Tspeak;3;3;At least once a term
cs_Tspeak;4;4;Less often than once a term
cs_Tspeak;5;5;Never?
cs_Schlif;1;1;Very involved
cs_Schlif;2;2;Fairly involved
cs_Schlif;3;3;Not very involved
cs_Schlif;4;4;or Not at all involved?
cs_RepRed1;1;1;Yes
cs_RepRed1;2;2;No
cs_RepRed1;3;3;Dont know
cs_RepRed1;4;4;Only if its bad (DO NOT READ OUT)
cs_RepRed2;5;5;Hardly ever
cs_RepRed2;4;4;Less than half
cs_RepRed2;1;1;Every time a report comes
cs_RepRed2;2;2;Most times
cs_RepRed2;3;3;About half
cs_Schact;1;1;Help out in class
cs_Schact;2;2;Help out elsewhere e.g. library, school trips, dinner duties
cs_Schact;3;3;Help with fund-raising activities
cs_Schact;4;4;Help out with special interest groups like sports/drama
cs_Schact;5;5;Get involved with Parents and Teachers Associations
cs_Schact;6;6;Some other activity - Please specify
cs_Schact;7;7;None of these
cs_Teawel;1;1;Agree strongly
cs_Teawel;2;2;Agree a little
cs_Teawel;3;3;Disagree a little
cs_Teawel;4;4;Disagree strongly
cs_Teaclea;1;1;Agree strongly
cs_Teaclea;2;2;Agree a little
cs_Teaclea;3;3;Disagree a little
cs_Teaclea;4;4;Disagree strongly
cs_Teainv;1;1;Agree strongly
cs_Teainv;2;2;Agree a little
cs_Teainv;3;3;Disagree a little
cs_Teainv;4;4;Disagree strongly
cs_Teachel;1;1;Agree strongly
cs_Teachel;2;2;Agree a little
cs_Teachel;3;3;Disagree a little
cs_Teachel;4;4;Disagree strongly
cs_Extrtu1;1;1;Yes
cs_Extrtu1;2;2;No
cs_Extrtu2;1;1;Maths
cs_Extrtu2;2;2;English
cs_Extrtu2;3;3;Languages
cs_Extrtu2;4;4;Science
cs_Extrtu2;5;5;Music
cs_Extrtu2;6;6;Other - specify
cs_Extrtu3;1;1;More than once a week
cs_Extrtu3;3;3;Once a week or
cs_Extrtu3;4;4;Less than once a week?
cs_Extrtu3;5;5;Once only (code only if mentioned spontaneously)
cs_Extrtu4;1;1;Yes
cs_Extrtu4;2;2;No
cs_Extrtu5;1;1;Music
cs_Extrtu5;2;2;Dance
cs_Extrtu5;3;3;Language
cs_Extrtu5;4;4;Speech and/or Drama
cs_Extrtu5;5;5;Religious activity
cs_Extrtu5;6;6;Sport
cs_Extrtu5;7;7;Other - Please specify
cs_Extrtu6;1;1;Three or four times a week or more
cs_Extrtu6;2;2;Less than this but more than once a week
cs_Extrtu6;3;3;Once a week
cs_Extrtu6;4;4;or Less than once a week?
cs_Extrtu6;5;5;One off (code only if mentioned spontaneously)
cs_Y10Choi;1;1;Yes
cs_Y10Choi;1;1;No
cs_Subjch8;1;1;Yes
cs_Subjch8;1;1;No
cs_Subcho9;1;1;Yes
cs_Subcho9;1;1;No
cs_Y10Sat;1;1;Very satisfied
cs_Y10Sat;2;2;Fairly satisfied
cs_Y10Sat;3;3;Not very satisfied
cs_Y10Sat;4;4;Not at all satisfied?
cs_Y10Fut;1;1;Very important
cs_Y10Fut;2;2;Fairly important
cs_Y10Fut;3;3;Not very important
cs_Y10Fut;4;4;Not at all important?
cs_PattInt;1;1;Agree strongly
cs_PattInt;2;2;Agree a little
cs_PattInt;3;3;Disagree a little
cs_PattInt;4;4;Disagree strongly
cs_Subjcho1;1;1;Agree strongly
cs_Subjcho1;2;2;Agree a little
cs_Subjcho1;3;3;Disagree a little
cs_Subjcho1;4;4;Disagree strongly
cs_Patt1;1;1;Agree strongly
cs_Patt1;2;2;Agree a little
cs_Patt1;3;3;Disagree a little
cs_Patt1;4;4;Disagree strongly
cs_Patt2;1;1;Agree strongly
cs_Patt2;2;2;Agree a little
cs_Patt2;3;3;Disagree a little
cs_Patt2;4;4;Disagree strongly
cs_Patt3;1;1;Agree strongly
cs_Patt3;2;2;Agree a little
cs_Patt3;3;3;Disagree a little
cs_Patt3;4;4;Disagree strongly
cs_SEN;1;1;Yes
cs_SEN;2;2;No
cs_SEN;3;3;Don't know
cs_SENcurr;1;1;Yes
cs_SENcurr;2;2;No
cs_SENcurr;3;3;Don't know
cs_STATED;1;1;Yes, GOT statement
cs_STATED;2;2;Yes, AWAITING statement
cs_STATED;3;3;No, not statemented
cs_STATED2;1;1;Yes, current statement
cs_STATED2;2;2;No current statement
cs_SENcurr2;1;1;Very satisfied
cs_SENcurr2;2;2;Fairly satisfied
cs_SENcurr2;3;3;Not very satisfied
cs_SENcurr2;4;4;Not at all satisfied?
cs_SENTran;1;1;Yes
cs_SENTran;2;2;No
cs_Parasp2;1;1;Continue in full-time education
cs_Parasp2;2;2;Start learning a trade/Get a place on a training course
cs_Parasp2;3;3;Start an apprenticeship
cs_Parasp2;4;4;Get a full-time paid job (either as an employee or self-employed)
cs_Parasp2;5;5;Something else?
cs_Parasp1;1;1;Continue in full-time education
cs_Parasp1;2;2;Start learning a trade/Get a place on a training course
cs_Parasp1;3;3;Start an apprenticeship
cs_Parasp1;4;4;Get a full-time paid job (either as an employee or self-employed)
cs_Parasp1;5;5;Something else
cs_JobDisc;1;1;Yes
cs_JobDisc;1;1;No
cs_FEfin;1;1;Education Maintenance Allowance (EMA)
cs_FEfin;2;2;He/She will get a job/work part-time
cs_FEfin;3;3;Parents will support/give money (including absent natural parents)
cs_FEfin;4;4;Other relatives will support/give money
cs_FEfin;5;5;Some other means
cs_FEfn2;1;1;Save money now specifically for his/her education
cs_FEfn2;2;2;Give money out of existing savings
cs_FEfn2;3;3;Support out of wages/salary/earnings
cs_FEfn2;4;4;Take out a loan or re-mortgage
cs_FEfn2;5;5;Pay school or college fees
cs_FEfn2;6;6;Help with accommodation (e.g. by letting he/she live at home, help with buying or renting
cs_FEfn2;7;7;Borrow money from other relatives or friends
cs_FEfn2;8;8;Help in other ways
cs_Heposs;1;1;Very likely
cs_Heposs;2;2;Fairly likely
cs_Heposs;3;3;Not very likely
cs_Heposs;4;4;Not likely at all
cs_Henot;1;1;Will not get necessary grades
cs_Henot;2;2;Family can't afford it
cs_Henot;3;3;He/she has no interest in going
cs_Henot;4;4;For some other reason (Please tell the interviewer)
cs_HePfin;1;1;Yes
cs_HePfin;2;2;No
cs_HeFFin;1;1;Yes
cs_HeFFin;2;2;No
cs_Fammeal;1;1;Every night
cs_Fammeal;2;2;Most nights
cs_Fammeal;3;3;Once or twice or
cs_Fammeal;4;4;Not at all?
cs_FamIn;1;1;Once a week or more
cs_FamIn;2;2;Two or three times a month
cs_FamIn;3;3;About once a month
cs_FamIn;4;4;Two or three times a year
cs_FamIn;5;5;About once a year
cs_FamIn;6;6;Never or hardly ever
cs_FamIn;7;7;Varies
cs_Fammus;1;1;Once a week or more
cs_Fammus;2;2;Two or three times a month
cs_Fammus;3;3;About once a month
cs_Fammus;4;4;Two or three times a year
cs_Fammus;5;5;About once a year
cs_Fammus;6;6;Never or hardly ever
cs_Fammus;7;7;Varies
cs_Parout;1;1;Always
cs_Parout;2;2;Usually
cs_Parout;3;3;Sometimes
cs_Parout;4;4;Rarely or hardly ever or
cs_Parout;5;5;Never?
cs_Parout;6;6;(text fill: name of sample member) does not go out in the evening (code only if mentioned spontaneously)
cs_Parback;1;1;Always
cs_Parback;2;2;Most times
cs_Parback;3;3;Sometimes or
cs_Parback;4;4;Never?
cs_Parback;5;5;Not allowed out/Does not go out (code only if mentioned spontaneously)
cs_Partimd;1;1;Always or usually come home by the time you set
cs_Partimd;2;2;Sometimes come home or
cs_Partimd;3;3;Never come home by this time?
cs_Partimd;4;4;I or spouse/partner/other family member always pick them up (DO NOT READ OUT)
cs_Patwk;1;1;Always
cs_Patwk;2;2;Most times
cs_Patwk;3;3;Sometimes or
cs_Patwk;4;4;Never?
cs_Patwk;5;5;Not allowed out/Does not go out (code only if mentioned spontaneously)
cs_Partmew;1;1;Always or usually come home by the time you set
cs_Partmew;2;2;Sometimes come home or
cs_Partmew;3;3;Never come home by this time?
cs_Interp;1;1;NOT USING INTERPRETER, MAIN PARENT ANSWERING QUESTIONS
cs_Interp;2;2;USING INTERPRETER
cs_ScomAdi;1;1;Respondent accepted self-completion Go to Turnad
cs_ScomAdi;2;2;Respondent refused self-completion Go to Intcare
cs_TurnAd;1;1;Press 1 and <Enter> to continue
cs_Parqual;1;1;Most days
cs_Parqual;2;2;More than once a week
cs_Parqual;3;3;Less than once a week
cs_Parqual;4;4;Hardly ever
cs_Parqual;5;5;Or never?
cs_Parqual;8;8;Don't know
cs_Parqual;9;9;Don't want to answer
cs_Kiddif;1;1;Very well
cs_Kiddif;2;2;Fairly well
cs_Kiddif;3;3;Fairly badly
cs_Kiddif;4;4;Very badly
cs_Kiddif;8;8;Don't know
cs_Kiddif;9;9;Don't want to answer
cs_ServSS;1;1;Yes
cs_ServSS;2;2;No
cs_ServSS;3;3;Don't know
cs_ServSS;4;4;Don't want to answer
cs_ServEW;1;1;Yes
cs_ServEW;2;2;No
cs_ServEW;3;3;Don't know
cs_ServEW;4;4;Don't want to answer
cs_ServOth;1;1;Yes
cs_ServOth;2;2;No
cs_ServOth;3;3;Don't know
cs_ServOth;4;4;Don't want to answer
cs_Intrcar;1;1;Press 1 and <Enter> to continue
cs_Evercar;1;1;Never been in care
cs_Evercar;2;2;With foster parents
cs_Evercar;3;3;In a young people's home
cs_Evercar;4;4;In local authority care, but remaining with own parents
cs_Evercar;5;5;Placed for adoption
cs_Evercar;6;6;In local authority care in some other arrangement
cs_Evercar;7;7;Don't know
cs_Evercar;8;8;Dont want to answer
cs_Nowcare;1;1;Yes
cs_Nowcare;2;2;No
cs_Nowcare;3;3;Don't know
cs_Nowcare;4;4;Don't want to answer
cs_NowcarY;1;1;2004
cs_NowcarY;2;2;2003
cs_NowcarY;3;3;2002
cs_NowcarY;4;4;2001
cs_NowcarY;5;5;2000
cs_NowcarY;6;6;1999
cs_NowcarY;7;7;1998
cs_NowcarY;8;8;1997
cs_NowcarY;9;9;1996
cs_NowcarY;10;10;1995
cs_NowcarY;11;11;1994
cs_NowcarY;12;12;1993
cs_NowcarY;13;13;1992
cs_NowcarY;14;14;1991
cs_NowcarY;15;15;1990
cs_NowcarY;16;16;1989
cs_NowcarY;17;17;1988
cs_NowcarY;18;18;1987
cs_NowcarY;19;19;1986
cs_NowcarY;20;20;1985
cs_NowcarM;1;1;January
cs_NowcarM;2;2;February
cs_NowcarM;3;3;March
cs_NowcarM;4;4;April
cs_NowcarM;5;5;May
cs_NowcarM;6;6;June
cs_NowcarM;7;7;July
cs_NowcarM;8;8;August
